Time, X1, Y1, X2, Y2
31620.000000, 33111.392748, -46552.803341, 1669316271.854828, 93232215.774379
31680.000000, 33272.092832, -46687.269682, 1669037999.520768, 97987261.804927
31740.000000, 33433.228249, -46821.710451, 1668746081.925473, 102741506.674382
31800.000000, 33594.798929, -46956.124409, 1668440521.328526, 107494911.520582
31860.000000, 33756.804797, -47090.510315, 1668121320.098706, 112247437.487242
31920.000000, 33919.245773, -47224.866930, 1667788480.713978, 116999045.724250
31980.000000, 34082.121776, -47359.193014, 1667442005.761478, 121749697.387965
32040.000000, 34245.432721, -47493.487326, 1667081897.937497, 126499353.641514
32100.000000, 34409.178518, -47627.748629, 1666708160.047468, 131247975.655088
32160.000000, 34573.359076, -47761.975682, 1666320795.005952, 135995524.606244
32220.000000, 34737.974298, -47896.167247, 1665919805.836615, 140741961.680197
32280.000000, 34903.024085, -48030.322084, 1665505195.672217, 145487248.070118
32340.000000, 35068.508334, -48164.438957, 1665076967.754590, 150231344.977437
32400.000000, 35234.426939, -48298.516626, 1664635125.434621, 154974213.612133
32460.000000, 35400.779790, -48432.553854, 1664179672.172233, 159715815.193034
32520.000000, 35567.566774, -48566.549403, 1663710611.536361, 164456110.948116
32580.000000, 35734.787774, -48700.502037, 1663227947.204933, 169195062.114800
32640.000000, 35902.442670, -48834.410517, 1662731682.964851, 173932629.940243
32700.000000, 36070.531338, -48968.273608, 1662221822.711963, 178668775.681646
32760.000000, 36239.053650, -49102.090074, 1661698370.451042, 183403460.606541
32820.000000, 36408.009478, -49235.858678, 1661161330.295763, 188136645.993094
32880.000000, 36577.398685, -49369.578185, 1660610706.468676, 192868293.130400
32940.000000, 36747.221135, -49503.247359, 1660046503.301181, 197598363.318781
33000.000000, 36917.476687, -49636.864966, 1659468725.233502, 202326817.870081
33060.000000, 37088.165196, -49770.429772, 1658877376.814658, 207053618.107966
33120.000000, 37259.286513, -49903.940542, 1658272462.702439, 211778725.368217
33180.000000, 37430.840489, -50037.396042, 1657653987.663372, 216502100.999031
33240.000000, 37602.826967, -50170.795040, 1657021956.572694, 221223706.361316
33300.000000, 37775.245789, -50304.136302, 1656376374.414325, 225943502.828986
33360.000000, 37948.096793, -50437.418596, 1655717246.280829, 230661451.789262
33420.000000, 38121.379814, -50570.640690, 1655044577.373390, 235377514.642963
33480.000000, 38295.094684, -50703.801353, 1654358373.001775, 240091652.804808
33540.000000, 38469.241229, -50836.899353, 1653658638.584303, 244803827.703710
33600.000000, 38643.819275, -50969.933460, 1652945379.647810, 249514000.783073
33660.000000, 38818.828641, -51102.902443, 1652218601.827612, 254222133.501087
33720.000000, 38994.269146, -51235.805073, 1651478310.867475, 258928187.331029
33780.000000, 39170.140603, -51368.640120, 1650724512.619571, 263632123.761553
33840.000000, 39346.442823, -51501.406357, 1649957213.044448, 268333904.296991
33900.000000, 39523.175612, -51634.102554, 1649176418.210989, 273033490.457647
33960.000000, 39700.338774, -51766.727485, 1648382134.296372, 277730843.780097
34020.000000, 39877.932110, -51899.279921, 1647574367.586033, 282425925.817477
34080.000000, 40055.955415, -52031.758637, 1646753124.473625, 287118698.139789
34140.000000, 40234.408483, -52164.162406, 1645918411.460977, 291809122.334190
34200.000000, 40413.291104, -52296.490002, 1645070235.158052, 296497160.005290
34260.000000, 40592.603064, -52428.740202, 1644208602.282906, 301182772.775449
34320.000000, 40772.344146, -52560.911780, 1643333519.661642, 305865922.285071
34380.000000, 40952.514128, -52693.003512, 1642444994.228369, 310546570.192901
34440.000000, 41133.112788, -52825.014177, 1641543033.025156, 315224678.176320
34500.000000, 41314.139897, -52956.942550, 1640627643.201985, 319900207.931641
34560.000000, 41495.595225, -53088.787410, 1639698832.016709, 324573121.174405
34620.000000, 41677.478537, -53220.547536, 1638756606.835001, 329243379.639673
34680.000000, 41859.789595, -53352.221707, 1637800975.130307, 333910945.082326
34740.000000, 42042.528159, -53483.808703, 1636831944.483798, 338575779.277360
34800.000000, 42225.693982, -53615.307304, 1635849522.584322, 343237844.020176
34860.000000, 42409.286818, -53746.716292, 1634853717.228351, 347897101.126879
34920.000000, 42593.306415, -53878.034448, 1633844536.319934, 352553512.434576
34980.000000, 42777.752517, -54009.260556, 1632821987.870641, 357207039.801662
35040.000000, 42962.624866, -54140.393399, 1631786079.999515, 361857645.108125
35100.000000, 43147.923200, -54271.431760, 1630736820.933015, 366505290.255832
35160.000000, 43333.647255, -54402.374424, 1629674219.004964, 371149937.168832
35220.000000, 43519.796760, -54533.220177, 1628598282.656498, 375791547.793640
35280.000000, 43706.371445, -54663.967804, 1627509020.436001, 380430084.099544
35340.000000, 43893.371034, -54794.616093, 1626406440.999060, 385065508.078888
35400.000000, 44080.795247, -54925.163832, 1625290553.108401, 389697781.747372
35460.000000, 44268.643802, -55055.609808, 1624161365.633832, 394326867.144347
35520.000000, 44456.916414, -55185.952811, 1623018887.552187, 398952726.333106
35580.000000, 44645.612793, -55316.191631, 1621863127.947267, 403575321.401178
35640.000000, 44834.732647, -55446.325058, 1620694096.009776, 408194614.460623
35700.000000, 45024.275679, -55576.351884, 1619511801.037264, 412810567.648328
35760.000000, 45214.241590, -55706.270901, 1618316252.434066, 417423143.126296
35820.000000, 45404.630077, -55836.080902, 1617107459.711236, 422032303.081940
35880.000000, 45595.440835, -55965.780681, 1615885432.486487, 426638009.728382
35940.000000, 45786.673552, -56095.369034, 1614650180.484125, 431240225.304738
36000.000000, 45978.327917, -56224.844755, 1613401713.534989, 435838912.076419
36060.000000, 46170.403613, -56354.206641, 1612140041.576381, 440434032.335417
36120.000000, 46362.900320, -56483.453489, 1610865174.651999, 445025548.400603
36180.000000, 46555.817714, -56612.584098, 1609577122.911876, 449613422.618017
36240.000000, 46749.155470, -56741.597266, 1608275896.612308, 454197617.361162
36300.000000, 46942.913257, -56870.491793, 1606961506.115785, 458778095.031295
36360.000000, 47137.090741, -56999.266481, 1605633961.890928, 463354818.057722
36420.000000, 47331.687586, -57127.920130, 1604293274.512409, 467927748.898086
36480.000000, 47526.703452, -57256.451544, 1602939454.660889, 472496850.038664
36540.000000, 47722.137996, -57384.859527, 1601572513.122945, 477062083.994656
36600.000000, 47917.990869, -57513.142881, 1600192460.790993, 481623413.310476
36660.000000, 48114.261723, -57641.300414, 1598799308.663220, 486180800.560047
36720.000000, 48310.950202, -57769.330932, 1597393067.843511, 490734208.347089
36780.000000, 48508.055951, -57897.233241, 1595973749.541368, 495283599.305414
36840.000000, 48705.578609, -58025.006150, 1594541365.071843, 499828936.099214
36900.000000, 48903.517812, -58152.648468, 1593095925.855455, 504370181.423352
36960.000000, 49101.873192, -58280.159007, 1591637443.418119, 508907298.003657
37020.000000, 49300.644381, -58407.536576, 1590165929.391064, 513440248.597212
